"seqn","ocq130","ocq150","ocq160","ocq180","ocq210","ocd230","ocd240","ocq260","ocd270","ocq280","ocq290g","ocq290q","ocq300","ocq310a","ocq310b","ocq310c","ocq330a","ocq330b","ocq330c","ocq330d","ocq330e","ocq340","ocq350","ocq360","ocq380","ocq390g","ocd390","ocd395","ocq420","ocq430","ocq440","ocq450","ocq470g","ocd470","ocd480"
4932,NA,1,NA,50,NA,42,7,1,84,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
4933,NA,1,NA,70,NA,19,3,1,7,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,8,60,NA,2,NA,NA,NA,NA,NA
4934,NA,1,NA,15,2,42,7,5,60,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,7,480,NA,NA,NA,NA,NA,NA,NA
4935,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,24,24,2,NA,NA,NA,NA,NA,NA
4937,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,23,36,1,2,NA,NA,NA,NA,NA
4938,NA,1,NA,70,NA,7,1,1,36,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
4939,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,27,7,2,NA,NA,NA,NA,NA,NA
4940,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,420,2,NA,NA,NA,NA,NA,NA
4941,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,360,2,NA,NA,NA,NA,NA,NA
4943,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4945,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,98,204,1,2,NA,NA,NA,NA,NA
4947,NA,1,NA,65,NA,39,4,1,312,2,2,NA,1,1,2,1,1,2,3,4,5,1,2,NA,NA,1,4,312,NA,2,NA,NA,4,NA,NA
4948,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,16,276,2,NA,NA,NA,NA,NA,NA
4951,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4952,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,33,360,2,NA,NA,NA,NA,NA,NA
4955,NA,1,NA,40,NA,28,1,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,33,60,NA,1,8,1,NA,NA,NA
4956,NA,1,NA,75,NA,40,23,4,120,1,2,NA,1,2,2,1,1,NA,NA,NA,NA,1,1,1,NA,1,28,324,NA,1,1,1,NA,NA,NA
4957,NA,1,NA,30,1,35,11,5,132,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,7,144,NA,NA,NA,NA,NA,NA,NA
4958,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,144,2,NA,NA,NA,NA,NA,NA
4959,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,98,1,2,NA,NA,NA,NA,NA,NA
4960,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,27,168,2,NA,NA,NA,1,33,5
4961,NA,1,NA,50,NA,40,5,4,120,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
4962,NA,1,NA,55,NA,8,6,1,36,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,6,36,NA,NA,NA,NA,NA,NA,NA
4963,NA,1,NA,30,1,31,16,1,6,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,11,36,NA,1,4,2,NA,NA,NA
4964,NA,1,NA,40,NA,20,38,4,420,1,2,NA,1,2,1,1,1,NA,NA,NA,NA,1,1,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
4965,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,12,6,2,NA,NA,NA,NA,NA,NA
4966,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,35,96,1,2,NA,NA,NA,NA,NA
4970,NA,1,NA,50,NA,27,1,1,10,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
4974,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,16,144,2,NA,NA,NA,NA,NA,NA
4975,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4976,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4977,NA,1,NA,45,NA,31,40,1,36,2,2,NA,1,2,2,1,NA,2,NA,NA,NA,1,2,NA,NA,1,34,144,NA,1,8,2,NA,NA,NA
4979,NA,1,NA,40,NA,38,16,4,6,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
4980,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4982,NA,1,NA,27,2,23,18,1,72,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,16,216,NA,NA,NA,NA,NA,NA,NA
4983,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,396,1,1,8,2,NA,NA,NA
4984,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4985,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,192,2,NA,NA,NA,NA,NA,NA
4986,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,24,36,2,NA,NA,NA,NA,NA,NA
4987,NA,1,NA,36,NA,44,14,3,6,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,16,8,NA,NA,NA,NA,NA,NA,NA
4988,NA,1,NA,32,2,43,18,4,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,8,348,NA,NA,NA,NA,NA,NA,NA
4990,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,30,18,1,1,8,1,NA,NA,NA
4991,NA,1,NA,16,1,1,27,1,120,2,2,NA,1,2,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
4992,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,35,144,1,2,NA,NA,NA,NA,NA
4993,NA,1,NA,40,NA,38,4,1,12,1,2,NA,1,2,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,1,4,120,NA,NA,NA,NA,NA,NA,NA
4994,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
4995,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,33,480,1,1,8,2,NA,NA,NA
4996,NA,1,NA,40,NA,31,35,1,12,2,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
4997,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,17,120,2,NA,NA,NA,NA,NA,NA
4998,NA,1,NA,40,NA,5,40,1,348,1,2,NA,1,2,1,2,NA,NA,NA,NA,NA,1,1,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
4999,NA,1,NA,50,NA,5,34,1,0,2,2,NA,1,2,1,1,1,NA,NA,NA,5,1,1,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000,NA,1,NA,40,NA,4,1,5,276,2,2,NA,1,2,1,2,NA,NA,NA,NA,NA,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA
5002,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,38,168,2,NA,NA,NA,NA,NA,NA
5003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5006,NA,1,NA,60,NA,6,32,1,180,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5008,NA,1,NA,40,NA,28,1,1,132,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5009,NA,1,NA,40,NA,42,7,5,144,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5012,NA,1,NA,40,NA,28,6,1,60,2,2,NA,1,2,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5013,NA,1,NA,40,NA,13,16,1,36,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,98,120,NA,NA,NA,NA,NA,NA,NA
5016,NA,1,NA,45,NA,31,28,1,7,1,2,NA,1,2,2,2,NA,NA,NA,NA,NA,1,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5017,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5018,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,37,96,2,NA,NA,NA,NA,NA,NA
5019,NA,1,NA,84,NA,27,11,5,36,2,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,6,240,NA,NA,NA,NA,NA,NA,NA
5020,NA,1,NA,50,NA,4,30,1,18,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5021,NA,1,NA,40,NA,10,35,1,12,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5022,NA,1,NA,45,NA,42,7,1,120,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA
5023,NA,1,NA,8,2,40,16,1,12,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5024,NA,1,NA,21,1,44,4,4,84,1,2,NA,1,2,2,1,1,NA,NA,NA,NA,1,2,NA,NA,1,4,168,NA,1,12,1,1,4,43
5025,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
5026,NA,1,NA,40,NA,29,1,1,3,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,16,144,NA,NA,NA,NA,NA,NA,NA
5027,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,10,204,2,NA,NA,NA,NA,NA,NA
5028,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5029,NA,1,NA,50,NA,4,37,3,24,1,2,NA,1,1,1,1,NA,2,NA,NA,NA,1,1,1,NA,1,38,24,NA,1,1,1,NA,NA,NA
5031,NA,1,NA,60,NA,19,2,1,8,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5032,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5035,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
5037,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,17,24,2,NA,NA,NA,NA,NA,NA
5039,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,11,4,2,NA,NA,NA,NA,NA,NA
5040,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,23,96,2,NA,NA,NA,NA,NA,NA
5042,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,30,252,2,NA,NA,NA,NA,NA,NA
5043,NA,1,NA,32,1,18,28,1,384,1,2,NA,1,2,1,1,1,2,NA,4,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5045,NA,1,NA,35,NA,28,30,1,2,2,1,2,1,2,2,1,1,NA,NA,4,NA,1,1,1,NA,1,30,12,NA,1,8,1,NA,NA,NA
5047,NA,2,2,NA,2,42,7,5,48,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5048,NA,1,NA,40,NA,18,36,1,36,1,1,4,1,2,1,1,NA,2,NA,NA,NA,1,1,8,NA,1,18,60,NA,2,NA,NA,NA,NA,NA
5049,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5050,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
5051,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,20,192,2,NA,NA,NA,NA,NA,NA
5052,NA,1,NA,7,2,42,16,1,96,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5053,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,38,84,1,1,8,2,NA,NA,NA
5054,NA,1,NA,20,2,42,24,1,3,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5055,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,37,216,1,1,3,2,NA,NA,NA
5057,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,132,2,NA,NA,NA,NA,NA,NA
5058,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5059,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5060,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,180,2,NA,NA,NA,NA,NA,NA
5061,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5063,NA,1,NA,43,NA,30,16,1,11,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,13,12,NA,NA,NA,NA,NA,NA,NA
5064,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,33,180,1,2,NA,NA,NA,NA,NA
5065,NA,1,NA,40,NA,15,30,1,4,2,1,8,1,2,2,1,NA,NA,NA,NA,5,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5066,NA,1,NA,24,1,28,9,1,24,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5067,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,21,24,2,NA,NA,NA,NA,NA,NA
5071,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
5072,NA,1,NA,60,NA,16,31,1,5,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,38,36,NA,1,8,1,NA,NA,NA
5073,NA,2,2,NA,1,21,35,1,36,1,1,10,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,9,156,NA,NA,NA,NA,NA,NA,NA
5074,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
5075,NA,1,NA,20,2,27,20,1,3,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5076,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,31,120,1,1,1,1,NA,NA,NA
5078,NA,1,NA,50,NA,35,24,1,36,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5079,NA,1,NA,40,NA,2,27,1,36,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5080,NA,1,NA,40,NA,24,6,1,48,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5081,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5083,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,22,144,2,NA,NA,NA,NA,NA,NA
5084,NA,1,NA,45,NA,27,20,1,60,1,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5085,NA,1,NA,40,NA,6,1,1,300,1,1,1,1,2,1,2,NA,NA,NA,NA,NA,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5086,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,5,168,2,NA,NA,NA,NA,NA,NA
5090,NA,1,NA,48,NA,5,31,1,6,1,2,NA,1,2,1,1,1,NA,NA,4,NA,1,1,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5092,NA,1,NA,45,NA,12,2,1,300,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5093,NA,1,NA,40,NA,44,2,4,204,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5094,NA,1,NA,12,2,27,19,1,48,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5095,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,24,3,2,NA,NA,NA,NA,NA,NA
5096,NA,1,NA,60,NA,29,10,1,3,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,14,120,NA,1,7,2,NA,NA,NA
5097,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5098,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5100,NA,1,NA,36,NA,31,22,1,18,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5101,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5102,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,11,18,2,NA,NA,NA,NA,NA,NA
5103,NA,1,NA,4,2,31,1,1,9,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5104,NA,1,NA,40,NA,44,24,3,288,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5109,NA,1,NA,31,2,25,11,1,1,1,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,23,12,NA,NA,NA,NA,4,NA,NA
5111,NA,1,NA,35,NA,40,5,3,96,1,2,NA,1,2,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA
5112,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5113,NA,1,NA,50,NA,33,17,5,204,2,1,6,1,2,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,24,35
5114,NA,1,NA,45,NA,22,31,1,36,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5115,NA,1,NA,40,NA,17,35,5,240,2,2,NA,1,2,2,1,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5116,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,26,3,2,NA,NA,NA,NA,NA,NA
5118,NA,1,NA,40,NA,12,14,1,132,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5119,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,38,420,1,2,NA,NA,NA,NA,NA
5120,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,24,2,NA,NA,NA,NA,NA,NA
5123,NA,1,NA,24,2,21,3,1,36,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA
