"seqn","fsd010","fsd160","fsd170n","fsd180","fsd190","fsd200","fsd655","fsd660c","fsd665","fsq650","fsd660m","fsd670","hhfdsec","adfdsec","chfdsec"
2514,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2515,1,1,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,1,1
2516,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
2517,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA
2518,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2519,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2520,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2521,1,1,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,1,1
2522,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2523,2,1,1,2,NA,NA,1,1,4,NA,NA,NA,3,3,3
2524,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2525,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2526,1,1,1,2,NA,NA,1,1,1,NA,NA,NA,1,1,1
2527,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2
2528,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2529,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2530,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2531,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2532,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2533,1,1,NA,NA,NA,NA,1,1,5,NA,NA,NA,1,1,1
2534,2,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1
2535,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2536,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
2537,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2538,1,2,3,1,3,1,NA,NA,NA,NA,NA,NA,1,1,1
2539,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
2540,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2541,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2542,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2543,2,1,1,2,NA,NA,1,1,1,NA,NA,NA,2,1,2
2544,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2545,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2546,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2547,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2548,1,2,2,1,12,1,NA,NA,NA,NA,NA,NA,2,2,NA
2549,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,1
2550,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2551,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2552,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2553,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2554,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2555,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4
2556,2,2,4,1,12,1,NA,NA,NA,NA,NA,NA,3,3,3
2557,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2558,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2559,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3
2560,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2561,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
2562,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2563,1,1,NA,NA,NA,NA,1,1,5,NA,NA,NA,1,1,1
2564,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2565,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
2566,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2567,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2
2568,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2569,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2570,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3
2571,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2572,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2573,1,1,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,1,1
2574,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,1,1
2575,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2576,2,1,NA,NA,NA,NA,1,1,4,NA,NA,NA,1,1,1
2577,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1
2578,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2579,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2580,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2581,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2582,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2583,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2584,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2585,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2586,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2587,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
2588,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1
2589,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2
2590,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1
2591,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2592,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2593,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2594,1,1,2,2,NA,NA,1,2,4,NA,NA,NA,1,1,1
2595,1,1,NA,NA,NA,NA,1,2,2,NA,NA,NA,1,1,1
2596,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA
2597,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2598,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA
2599,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2600,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
2601,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA
2602,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2603,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA
2604,1,1,NA,NA,NA,NA,1,2,2,NA,NA,NA,1,1,1
2605,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2606,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2607,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2
2608,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2609,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2611,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
2612,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2613,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2614,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2
2615,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2616,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2617,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2619,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2620,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2621,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2622,2,1,1,2,NA,NA,1,1,5,NA,NA,NA,2,1,2
2623,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
2624,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2625,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2626,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
2627,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2628,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2629,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2630,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2631,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2632,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2633,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA
2634,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2635,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
2636,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA
2637,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2638,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2639,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2640,2,1,NA,NA,NA,NA,1,2,5,NA,NA,NA,3,2,3
2641,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA
2642,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
2643,1,2,1,1,12,2,NA,NA,NA,NA,NA,NA,1,1,NA
2644,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2645,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2646,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2647,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2648,2,1,NA,NA,NA,NA,1,1,5,NA,NA,NA,1,1,1
2649,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2650,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2651,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2652,2,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
2653,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2654,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1
2655,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2656,1,1,4,1,12,1,2,NA,NA,NA,NA,NA,1,1,1
2657,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2658,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2659,1,1,1,1,3,2,NA,NA,NA,1,1,1,1,1,1
2660,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2661,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2662,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2663,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2664,1,1,6,1,12,1,NA,NA,NA,NA,NA,NA,1,1,1
2665,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,3,1
2666,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2667,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2668,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
2669,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
2670,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2671,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2672,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2673,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2674,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2
2675,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2676,2,1,7,1,12,1,NA,NA,NA,NA,NA,NA,1,1,1
2677,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2678,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2679,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2680,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3
2681,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2682,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2683,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2684,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2685,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2686,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2687,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA
2688,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2689,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2690,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2691,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2692,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2693,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2694,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2695,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
2696,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2697,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2698,1,1,1,2,NA,NA,1,1,3,NA,NA,NA,1,1,1
2699,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA
2700,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2701,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2702,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2703,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2704,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2705,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2706,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2707,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2708,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2709,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2710,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2711,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2712,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA
2713,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2714,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2715,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4
2716,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2717,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2718,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2719,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1
2720,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2721,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2722,2,1,1,2,NA,NA,1,1,5,NA,NA,NA,4,3,3
2723,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2724,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
2725,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2726,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
2727,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
2728,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2729,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2730,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2731,3,1,NA,NA,NA,NA,1,2,6,NA,NA,NA,3,3,3
2732,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2733,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
2734,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2735,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2736,2,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2
2737,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2738,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA
2739,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,2,1
2740,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2741,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1
2742,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2743,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2744,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2745,1,1,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,1,1
2746,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA
2747,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2748,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2749,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2750,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2751,2,1,4,1,2,1,NA,NA,NA,NA,NA,NA,3,3,2
2752,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA
2753,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA
2754,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2755,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2756,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1
2757,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2758,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2759,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2760,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3
2761,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2762,2,2,1,1,12,1,NA,NA,NA,NA,NA,NA,1,1,1
2763,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,1
2764,2,1,5,2,NA,NA,NA,NA,NA,1,1,1,3,2,2
2765,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2766,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2767,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2768,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
2769,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2770,1,1,1,2,NA,NA,NA,NA,NA,2,NA,NA,1,1,1
2771,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2772,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2773,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1
2774,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3
2775,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2776,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
2777,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2778,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2779,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2780,3,2,NA,NA,NA,NA,1,2,4,NA,NA,NA,3,3,3
2781,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2782,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2783,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2784,3,1,1,1,7,2,NA,NA,NA,1,1,2,4,4,3
2785,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2786,3,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
2787,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2788,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1
2789,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2790,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2791,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2792,2,1,NA,NA,NA,NA,1,2,5,NA,NA,NA,1,1,1
2793,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1
2794,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2795,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2796,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2
2797,1,2,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2798,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2799,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2800,2,1,NA,NA,NA,NA,1,1,3,NA,NA,NA,3,3,3
2801,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2802,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2803,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2804,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2
2805,2,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,2,1
2806,1,1,1,2,NA,NA,1,1,5,NA,NA,NA,3,3,2
2807,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2808,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2809,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2810,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2811,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2812,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2813,2,1,4,1,12,1,1,1,3,NA,NA,NA,3,3,2
2814,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2815,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2816,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2817,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2818,2,1,1,1,12,1,NA,NA,NA,1,1,1,2,2,1
2819,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2820,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2821,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2822,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2823,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA
2824,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2825,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2826,1,1,NA,NA,NA,NA,1,1,6,NA,NA,NA,3,3,3
2827,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2828,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1
2829,2,2,4,1,12,1,NA,NA,NA,NA,NA,NA,4,4,4
2830,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2831,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2832,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2833,2,1,7,1,12,1,NA,NA,NA,NA,NA,NA,1,1,1
2834,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2835,3,1,4,1,12,1,1,1,6,NA,NA,NA,3,3,3
2836,1,1,7,1,12,1,NA,NA,NA,NA,NA,NA,1,1,1
2837,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1
2838,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2839,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1
2840,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
