"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq244","ind247"
54687,2,1,2,2,2,2,2,2,2,7,1.4,2,NA,NA
54688,1,2,2,2,2,2,2,2,2,11,4.35,3,NA,NA
54689,1,2,2,1,2,2,2,2,1,9,2.33,3,2,1
54690,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
54691,1,2,2,2,2,2,2,2,1,3,0.65,1,2,1
54692,1,2,2,2,2,2,2,2,1,11,5,3,NA,NA
54693,2,2,1,2,2,1,1,2,1,3,0.79,1,2,3
54694,2,2,2,2,2,2,2,2,1,3,0.52,1,2,1
54695,1,2,2,2,2,2,2,2,2,11,2.16,3,NA,NA
54696,1,2,2,2,2,2,2,2,2,5,0.65,1,2,1
54697,1,2,2,2,2,2,2,2,1,3,0.6,1,2,1
54698,2,2,1,1,2,2,2,2,2,4,1.24,1,2,1
54699,1,2,2,2,2,2,2,2,2,4,0.98,1,2,1
54700,1,2,2,2,2,2,2,2,2,5,1.25,1,2,1
54701,1,2,2,2,2,2,2,2,2,11,3.26,3,NA,NA
54702,1,2,1,2,2,1,2,2,1,6,1.25,1,2,1
54703,1,2,2,2,2,2,2,2,1,5,1.48,2,1,NA
54704,1,2,2,2,2,2,2,1,2,7,3.88,3,NA,NA
54705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54706,2,1,2,2,2,2,2,2,2,5,1.09,1,2,1
54707,1,1,1,2,1,2,2,1,2,7,2.47,3,NA,NA
54708,1,1,2,2,2,2,2,2,2,7,3.99,3,NA,NA
54709,2,1,1,2,2,2,2,1,2,12,5,3,NA,NA
54710,1,2,2,2,2,2,2,2,2,7,1.4,2,2,1
54711,1,2,2,2,2,2,2,2,2,9,5,3,NA,NA
54712,2,2,1,2,2,1,2,2,2,4,0.7,1,2,1
54713,2,2,2,2,2,2,2,2,2,6,1.07,1,2,1
54714,1,2,2,2,2,2,2,2,2,11,2.84,3,NA,NA
54715,1,1,1,2,1,2,2,1,2,NA,NA,NA,NA,NA
54716,1,2,2,2,2,2,2,2,2,4,0.98,1,2,1
54717,1,2,1,2,1,2,2,2,2,2,0.33,1,2,1
54718,1,2,2,2,2,2,2,2,1,5,1.03,1,2,1
54719,1,2,2,2,2,2,2,2,2,10,2.56,3,NA,NA
54720,2,2,2,2,2,2,2,2,1,NA,NA,NA,NA,NA
54721,1,1,2,2,2,2,2,1,2,77,NA,2,2,77
54722,1,2,2,2,2,2,2,2,1,5,0.61,1,2,1
54723,1,2,2,2,2,1,2,2,2,99,NA,1,2,1
54724,1,2,2,2,2,2,2,1,2,9,3.28,3,NA,NA
54725,2,2,2,2,1,2,2,1,2,6,3.1,3,NA,NA
54726,1,2,1,2,1,2,2,2,2,9,2.67,3,NA,NA
54727,1,2,2,1,2,2,2,2,2,5,1.18,1,NA,NA
54728,1,2,2,2,2,2,2,2,2,2,0.78,1,2,2
54729,1,2,2,1,2,2,2,2,2,99,NA,1,2,1
54730,2,2,1,2,2,2,2,1,2,2,0.44,1,2,1
54731,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
54732,1,2,2,2,2,1,2,2,2,5,1.11,1,2,1
54733,1,2,2,2,2,2,2,2,2,4,0.54,1,2,1
54734,9,2,2,2,2,2,2,2,2,8,3.71,3,NA,NA
54735,1,2,2,2,2,2,2,2,2,5,1.18,1,2,1
54736,2,2,2,2,2,2,2,2,2,1,0.06,1,2,1
54737,2,2,2,2,2,2,2,2,1,5,1.65,2,2,1
54738,2,2,1,2,1,2,2,1,2,9,4.12,3,NA,NA
54739,2,2,1,1,2,2,2,2,1,5,1.99,3,NA,NA
54740,1,2,2,2,2,2,2,2,2,8,3.29,3,NA,NA
54741,1,2,2,2,2,2,2,2,2,6,1.3,1,2,1
54742,1,2,2,2,2,2,2,1,2,9,3.28,3,NA,NA
54743,1,1,1,2,1,2,2,2,2,4,1.24,1,7,NA
54744,1,2,1,2,1,2,2,1,2,8,3.29,3,NA,NA
54745,1,2,1,1,1,1,2,1,2,99,NA,1,2,1
54746,2,1,2,2,2,2,2,2,2,4,0.82,1,NA,NA
54747,1,2,2,2,2,2,2,2,2,1,0,1,2,1
54748,1,2,2,2,2,2,2,2,2,11,5,3,NA,NA
54749,1,2,2,2,2,2,2,2,2,5,1.31,2,2,1
54750,1,1,2,2,2,2,2,2,2,12,5,3,NA,NA
54751,1,2,2,2,2,2,2,2,1,3,0.99,1,2,1
54752,2,2,1,2,1,2,2,2,2,7,3.32,3,NA,NA
54753,1,2,2,2,2,2,2,2,2,3,0.6,1,2,1
54754,2,2,2,2,2,1,2,2,2,4,0.74,1,2,1
54755,1,2,2,2,2,2,2,1,2,8,1.83,2,NA,NA
54756,1,1,2,2,2,2,2,1,2,10,2.44,3,1,NA
54757,2,2,1,2,2,2,2,2,2,99,NA,9,2,1
54758,1,1,1,2,1,2,2,1,2,99,NA,3,1,NA
54759,1,2,2,2,2,2,2,2,2,4,1.44,2,2,3
54760,2,2,1,2,1,2,2,2,2,3,1.11,1,1,NA
54761,2,2,2,2,2,2,1,2,2,3,0.37,1,2,1
54762,1,1,2,2,2,2,2,2,2,5,0.93,1,2,1
54763,1,2,2,2,2,2,2,2,2,8,2.63,3,NA,NA
54764,1,2,2,2,2,2,2,1,2,12,4.57,3,NA,NA
54765,1,2,2,2,2,2,2,2,2,9,2.03,3,2,1
54766,1,2,2,2,2,2,1,2,2,5,1.31,2,NA,NA
54767,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
54768,1,1,2,2,2,2,2,2,2,11,3.72,3,NA,NA
54769,2,1,1,1,2,1,2,2,1,6,1.36,2,NA,NA
54770,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
54771,2,2,2,2,2,1,2,2,2,2,0.75,1,2,1
54772,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
54773,1,2,2,2,2,2,2,2,1,5,0.95,1,2,2
54774,1,2,2,2,2,2,2,2,2,7,1.97,3,2,1
54775,1,2,2,2,2,2,2,1,2,8,1.83,2,NA,NA
54776,2,2,2,2,1,2,1,1,1,7,2.47,3,NA,NA
54777,1,1,2,2,2,2,2,2,2,8,2.49,3,NA,NA
54778,1,2,1,2,2,2,2,2,2,4,0.54,1,2,1
54779,1,2,2,2,2,2,2,1,2,9,4.12,3,NA,NA
54780,2,2,1,2,2,2,2,2,2,7,2.88,3,NA,NA
54781,1,2,2,2,2,2,2,1,1,3,0.65,1,2,1
54782,1,2,2,2,2,2,1,2,2,5,1.34,2,NA,NA
54783,1,2,2,2,2,2,2,1,2,11,4.59,3,NA,NA
54784,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
54785,1,2,1,2,1,2,2,1,2,9,2.14,3,NA,NA
54786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54787,1,2,2,2,2,2,2,2,2,7,1.63,2,NA,NA
