"seqn","cbd010","cbq020","cbq030","cbq040","cbq050","cbq060","cbd070","cbd090","cbd110","cbd120","cbd130","cbq140","cbd150","cbd160","cbd170","cbd180","cbq190"
51896,2,1,1,5,1,5,642,0,0,171,0,2,10,5,60,7,5
51897,2,2,1,1,5,3,514,128,40,428,0,3,10,2,60,7,0
51898,2,1,5,2,1,5,200,0,0,0,0,3,10,7,60,666,NA
51899,2,2,3,3,5,1,350,0,0,75,0,3,5,5,60,11,6
51900,1,2,2,3,1,5,100,20,0,50,4,4,15,1,30,666,NA
51901,2,1,1,1,1,1,214,0,50,250,60,2,15,6,60,11,10
51902,1,2,3,2,4,1,250,50,85,0,90,4,7,7,40,7,7
51903,2,2,2,3,5,2,360,0,90,100,0,3,3,0,NA,2,0
51904,2,2,2,3,4,3,171,0,0,10,20,1,2,5,45,666,NA
51905,2,3,2,3,5,3,350,0,214,100,80,3,15,7,120,7,7
51906,2,1,3,1,5,2,400,25,100,350,150,2,15,3,90,3,3
51907,1,1,1,1,5,1,240,0,30,10,0,3,15,6,120,6,6
51908,2,2,3,1,5,2,857,257,80,0,0,1,10,7,120,7,7
51909,1,1,1,1,1,5,117,0,75,100,0,4,NA,5,60,5,5
51910,2,1,1,1,5,1,428,0,257,0,30,2,15,4,180,4,4
51911,2,1,1,1,1,1,700,100,0,50,0,1,20,7,90,7,7
51912,2,1,1,1,5,1,788,0,0,20,0,4,20,7,120,7,7
51913,2,1,2,2,1,3,2000,85,1500,125,0,4,15,7,120,7,7
51914,2,1,1,3,5,4,857,0,342,0,0,2,10,5,90,5,5
51915,1,1,1,1,5,1,200,0,0,20,0,4,20,6,45,6,6
51916,2,1,1,1,3,1,500,0,0,0,0,2,20,7,60,5,5
51917,1,3,1,5,5,5,600,100,0,0,200,2,2,3,30,0,NA
51918,2,5,3,3,2,1,150,0,50,80,40,3,5,0,NA,666,NA
51919,1,3,3,1,1,3,428,64,0,171,0,3,15,5,60,5,5
51920,2,1,1,1,1,2,700,200,0,150,0,2,10,6,120,3,3
51921,2,2,2,2,5,2,100,0,50,50,0,2,45,5,120,7,5
51922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51923,2,2,2,2,1,3,428,0,100,100,0,2,10,6,90,3,3
51924,1,1,3,2,1,1,0,0,900,150,60,3,15,5,60,7,5
51925,2,3,2,1,5,4,214,0,0,0,0,1,5,7,90,7,7
51926,9,1,1,5,5,1,1000,0,0,0,257,2,20,7,120,2,2
51927,2,1,1,1,5,1,400,0,0,200,0,3,10,3,60,4,4
51928,2,2,2,4,4,4,85,0,0,0,0,2,10,7,60,14,14
51929,2,1,1,1,5,1,214,21,100,100,0,2,30,7,60,7,7
51930,2,1,1,3,5,1,200,0,0,0,0,2,10,7,60,7,7
51931,2,3,2,3,5,1,321,0,321,900,0,2,20,4,240,0,NA
51932,2,2,2,2,5,1,300,0,0,4,2,3,5,6,60,6,6
51933,2,1,2,3,1,1,300,42,0,171,0,2,15,3,30,666,NA
51934,2,1,1,1,1,4,200,0,100,42,0,4,2,0,NA,0,NA
51935,2,1,1,1,1,5,1000,200,0,300,100,4,7,7,120,7,7
51936,2,1,1,3,4,4,700,100,0,200,0,2,5,6,90,7,7
51937,2,1,1,1,5,1,700,80,120,60,0,3,60,7,75,7,7
51938,2,1,1,4,1,5,600,0,0,200,0,2,2,6,60,6,6
51939,2,1,4,4,5,1,2142,0,0,0,0,1,3,7,180,0,NA
51940,2,1,1,1,5,1,400,0,0,0,171,3,10,5,90,5,5
51941,1,1,1,5,1,2,120,0,0,50,10,3,3,3,60,2,2
51942,2,1,1,3,4,4,334,0,85,50,0,2,20,7,180,7,7
51943,2,2,1,1,5,1,250,0,60,150,0,5,10,7,30,2,2
51944,2,1,1,1,5,3,1071,0,0,0,0,2,15,7,120,7,7
51945,2,2,3,3,3,3,300,150,150,200,0,3,10,3,60,3,3
51946,2,1,2,3,5,2,400,0,75,20,0,3,5,4,45,2,2
51947,2,2,1,1,1,1,300,10,100,75,30,1,5,4,120,0,NA
51948,2,2,2,1,3,3,300,50,50,20,30,3,20,3,60,3,3
51949,2,3,3,1,5,1,200,0,0,30,0,3,10,7,60,3,3
51950,2,1,1,2,5,4,428,42,150,200,25,2,15,5,120,5,5
51951,2,1,1,4,1,3,200,0,0,50,0,2,15,7,120,7,7
51952,2,1,2,1,5,1,428,0,0,257,0,3,1,5,60,5,4
51953,1,1,1,2,1,5,1500,600,600,200,100,2,8,7,90,12,12
51954,2,1,3,1,5,1,450,0,0,100,0,1,5,6,180,19,19
51955,2,1,1,1,5,1,600,0,0,0,0,3,10,7,120,7,7
51956,2,2,3,4,5,2,400,0,50,50,50,3,3,5,120,6,6
51957,2,1,1,3,1,5,325,0,80,45,0,3,40,7,60,12,12
51958,2,1,1,1,5,2,500,30,50,50,0,2,20,7,180,7,7
51959,2,1,1,1,1,4,1500,100,150,30,0,4,20,7,60,7,7
51960,2,2,2,2,5,2,214,42,0,0,0,1,10,7,60,7,7
51961,2,1,1,1,5,4,642,171,15,250,50,2,5,5,60,6,5
51962,2,1,1,1,5,5,60,0,23,15,0,3,10,3,60,14,9
51963,2,1,2,1,5,1,428,0,0,257,0,3,1,5,60,5,4
51964,2,1,1,1,1,1,342,0,85,85,50,1,10,6,60,666,NA
51965,2,1,1,1,5,1,400,50,0,150,0,4,15,7,120,7,7
51966,2,1,1,2,5,1,1000,0,999999,200,50,2,10,4,60,14,11
51967,2,1,1,3,5,1,300,50,100,50,0,3,10,7,60,7,7
51968,2,1,1,1,5,2,110,0,0,50,0,1,15,3,60,4,4
51969,2,1,1,3,1,3,200,0,30,50,0,4,10,5,60,5,5
51970,2,1,1,2,1,3,1071,75,110,350,0,2,25,7,120,7,7
51971,2,1,1,1,5,5,642,0,0,0,0,2,25,7,90,0,NA
51972,2,1,1,1,4,5,321,42,200,70,0,5,5,7,60,7,7
51973,1,1,1,3,1,2,500,0,85,200,100,2,10,3,90,7,5
51974,2,1,2,1,5,1,500,70,0,200,0,2,15,6,120,0,NA
51975,2,3,3,1,3,1,857,0,100,40,46,2,20,6,60,6,6
51976,2,1,1,2,1,4,500,0,0,250,0,5,10,5,60,10,10
51977,2,1,1,1,5,1,360,0,0,0,0,4,15,7,90,7,7
51978,2,1,1,1,5,5,300,0,0,0,0,2,40,4,180,3,3
51979,2,1,1,1,3,1,800,0,100,40,0,2,10,7,180,7,7
51980,2,1,1,1,1,1,600,60,0,30,0,3,10,7,60,7,7
51981,2,2,2,2,2,2,321,0,514,7,0,3,15,7,240,2,2
51982,2,3,2,1,5,3,200,0,100,200,200,4,10,7,60,666,NA
51983,2,1,1,3,2,3,700,300,0,125,0,3,8,5,90,7,5
51984,1,2,4,1,2,2,600,42,128,257,42,2,10,3,120,3,3
51985,1,1,2,2,5,5,257,0,171,257,0,1,10,7,120,14,14
