"seqn","fsd032a","fsd032b","fsd032c","fsd041","fsd052","fsd061","fsd071","fsd081","fsd092","fsd102","fsd032d","fsd032e","fsd032f","fsd111","fsd122","fsd132","fsd141","fsd146","fsdhh","fsdad","fsdch","fsd151","fsd401","fsd421","fsd431","fsd411","fsd440","fsd451","fsq165","fsq171","fsd225","fsq235","fsq162","fsd650zc","fsd660zc","fsd675","fsd680","fsd670zc","fsq690","fsq695","fsd650zw","fsd660zw","fsd670zw"
51716,3,2,3,1,3,1,2,2,2,NA,3,3,3,NA,NA,NA,NA,NA,3,3,1,1,3,3,3,3,NA,NA,1,1,50,500,NA,NA,NA,1,1,24,1,99,NA,NA,NA
51717,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,2,NA,0,2,NA,NA,NA,NA
51718,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51719,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51720,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51721,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,28,100,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51722,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51723,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51724,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
51725,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,1,1,60,1,2,NA,NA,NA
