"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq300","ind310","inq320"
101904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101905,1,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
101906,1,2,2,2,2,2,2,2,2,99,NA,3,1,NA,1
101907,1,2,2,2,2,2,1,2,2,7,1.26,1,2,1,1
101908,1,1,1,1,2,2,2,1,2,12,5,3,1,NA,1
101909,1,2,2,2,2,2,2,1,2,12,5,3,2,3,1
101910,2,2,1,2,1,2,2,2,2,5,1.78,2,2,1,1
101911,2,1,2,2,2,2,2,2,2,5,1.18,1,2,1,1
101912,1,1,2,2,2,2,2,2,2,9,2.08,3,2,3,1
101913,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
101914,1,2,2,2,2,2,2,2,2,11,3.35,3,2,2,1
101915,2,2,1,2,1,2,2,1,2,10,4.43,3,1,NA,1
101916,1,2,2,2,2,2,2,2,2,1,0,1,2,1,1
101917,1,2,1,2,1,2,2,2,2,99,NA,3,2,99,1
101918,1,2,2,2,2,2,2,2,2,8,1.46,2,2,1,1
101919,1,2,2,2,2,2,2,2,2,7,1.46,2,2,1,1
101920,1,2,2,2,2,2,2,1,2,77,NA,3,7,NA,1
101921,2,1,1,2,1,2,2,1,2,5,1.96,3,1,NA,1
101922,1,2,2,2,2,2,2,1,2,3,0.52,1,1,NA,1
101923,1,2,2,2,2,2,2,2,2,7,0.79,1,2,1,1
101924,2,2,1,2,1,2,2,2,2,NA,NA,NA,NA,NA,1
101925,1,2,1,2,2,2,2,2,1,5,0.94,1,2,1,7
101926,1,2,2,2,2,2,2,2,2,11,3.02,3,2,1,1
101927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101928,1,2,2,2,2,2,2,2,2,6,1.63,2,2,1,1
101929,2,2,1,2,2,1,2,2,2,2,0.35,1,2,1,1
101930,1,2,2,2,2,2,2,2,2,6,0.73,1,2,1,1
101931,1,2,2,2,2,2,2,2,1,11,3.11,3,2,1,1
101932,1,2,2,2,2,2,2,2,2,7,1.33,2,2,1,1
101933,1,1,2,2,2,2,2,2,2,12,2.57,3,1,NA,1
101934,2,2,1,2,1,2,2,1,2,8,2.77,3,1,NA,1
101935,1,2,2,2,2,2,1,2,1,2,0.35,1,2,1,1
101936,1,1,1,2,1,2,2,2,2,9,2.94,3,2,5,1
101937,1,2,2,2,2,2,2,2,2,7,2.99,3,2,1,1
101938,1,2,2,2,2,2,2,2,2,3,0.44,1,2,1,1
101939,1,2,2,2,2,2,2,2,2,7,1.8,2,2,4,1
101940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101941,1,2,2,2,2,2,2,2,2,6,1.14,1,2,1,1
101942,1,2,2,2,2,2,1,2,2,5,1.04,1,2,1,1
101943,1,2,2,2,2,2,2,2,2,9,2.04,3,2,1,1
101944,1,2,2,2,2,2,2,2,2,12,4.88,3,1,NA,1
101945,2,2,1,1,2,2,2,2,2,6,1.63,2,2,1,1
101946,1,2,2,2,2,2,2,2,2,9,2.34,3,2,4,1
101947,1,2,1,2,2,1,2,2,2,5,1.98,3,2,1,1
101948,1,2,2,2,2,2,2,2,2,6,1.55,2,2,1,1
101949,2,2,1,2,1,2,2,1,2,6,2.49,3,1,NA,1
101950,1,2,1,2,2,1,2,2,2,7,1.46,2,2,1,2
101951,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
101952,1,2,2,2,2,2,2,2,2,6,0.74,1,2,1,1
101953,1,2,2,2,2,2,2,2,2,77,NA,2,2,1,1
101954,1,2,2,2,2,2,2,2,2,99,NA,9,2,1,1
101955,1,2,2,2,2,2,2,2,2,5,0.4,1,2,1,1
101956,1,2,2,2,2,2,2,2,2,6,1.22,1,2,2,1
101957,1,2,2,2,2,2,2,2,2,7,1.73,2,1,NA,1
101958,1,2,2,2,2,1,2,2,2,9,1.63,2,2,1,1
101959,1,2,1,1,1,1,2,2,2,8,1.95,3,2,1,1
101960,1,2,2,2,2,2,2,2,2,5,0.96,1,2,1,1
101961,1,2,2,2,2,2,1,2,2,1,0,1,2,1,2
101962,2,2,1,2,1,2,2,2,2,5,1.26,1,2,1,1
101963,1,2,2,2,2,2,2,2,2,9,2.04,3,2,2,1
101964,1,2,2,2,2,2,1,2,2,5,0.82,1,2,1,1
101965,1,2,2,2,2,2,2,1,2,10,2.96,3,1,NA,1
101966,1,1,2,2,2,2,2,2,2,6,1.5,2,2,1,1
101967,2,2,2,1,2,2,2,2,2,5,0.81,1,2,1,1
101968,1,2,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,1
101969,1,1,2,2,2,2,2,2,2,6,1.06,1,2,2,1
101970,9,2,2,2,2,2,2,2,2,99,NA,9,2,1,1
101971,1,2,2,2,2,2,2,2,2,5,1.99,3,2,5,1
101972,1,2,2,2,2,2,2,2,2,10,2.63,3,2,1,1
101973,2,2,2,2,2,2,2,2,2,77,NA,1,2,1,1
101974,1,2,2,2,2,2,2,2,1,7,1.14,1,2,1,1
101975,7,7,7,7,7,7,2,7,7,77,NA,7,7,NA,1
101976,1,2,2,2,2,2,2,2,2,8,1.85,2,2,1,4
101977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101978,1,2,2,2,2,2,2,2,1,2,0.37,1,2,1,7
101979,2,2,2,2,2,2,2,2,2,1,0,1,2,1,6
101980,1,2,2,2,2,2,2,2,1,7,1.09,1,2,1,1
101981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101982,1,2,2,2,2,2,2,2,2,3,0.5,1,2,1,1
101983,1,2,2,2,2,2,2,2,2,11,3.34,3,2,1,1
101984,1,2,2,2,2,2,2,2,2,99,NA,9,2,1,1
101985,1,2,2,2,2,2,2,2,1,4,1.18,1,2,1,1
101986,1,2,2,2,2,2,2,2,2,3,0.99,1,2,1,4
101987,1,2,1,1,2,2,2,2,1,12,5,3,1,NA,1
101988,1,1,2,2,2,2,2,2,2,5,1.18,1,2,1,1
101989,1,2,2,2,1,2,2,2,2,8,1.91,3,2,1,1
101990,1,1,2,2,2,2,2,2,2,12,5,3,2,3,8
101991,1,2,2,2,2,2,2,2,1,2,0.7,1,2,1,2
101992,1,1,2,2,2,2,2,1,2,99,NA,9,9,NA,1
101993,1,1,2,1,1,2,2,1,1,9,2.89,3,1,NA,1
