"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq300","ind310","inq320"
83952,1,2,2,2,2,2,2,2,2,3,0.44,1,2,2,1
83953,1,1,2,2,2,2,2,2,2,12,5,3,2,1,1
83954,1,2,2,2,2,2,2,1,2,11,5,3,1,NA,1
83955,1,2,2,2,2,2,2,2,1,11,4.18,3,1,NA,1
83956,1,2,2,1,2,2,2,1,2,10,2.97,3,2,4,1
83957,2,1,2,2,2,2,2,2,2,2,0.25,1,2,1,1
83958,1,2,2,2,2,2,2,2,1,3,0.6,1,2,1,1
83959,1,2,1,2,2,2,1,2,2,4,0.74,1,2,1,1
83960,1,1,2,2,2,2,2,2,2,7,1.48,2,1,NA,1
83961,2,1,2,2,2,2,2,2,2,10,2.96,3,2,3,1
83962,1,2,2,2,2,2,2,2,2,7,1.48,2,2,1,1
83963,1,1,2,2,2,2,2,2,1,99,NA,2,2,1,1
83964,1,2,2,2,2,2,2,1,2,10,4.12,3,1,NA,1
83965,2,2,1,2,2,2,2,2,2,3,1.26,1,2,1,3
83966,2,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
83967,1,1,2,2,2,2,2,1,2,12,5,3,1,NA,1
83968,7,7,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1
83969,1,2,2,2,2,2,2,2,2,7,2.26,3,2,3,1
83970,1,2,2,2,2,2,2,2,2,5,1.09,1,2,1,1
83971,1,2,2,2,2,2,2,2,2,9,2.57,3,2,1,1
83972,1,2,2,2,2,2,2,2,2,6,1.23,1,2,1,1
83973,1,1,2,2,2,2,2,9,2,12,5,3,1,NA,1
83974,1,2,1,2,2,1,2,2,2,7,1.1,1,2,1,1
83975,1,2,1,1,1,2,2,1,1,77,NA,3,1,NA,1
83976,2,2,2,1,1,2,2,2,2,5,1.91,3,1,NA,1
83977,2,2,1,2,1,2,2,1,2,7,2.25,3,1,NA,1
83978,1,2,2,2,2,2,2,2,2,4,0.83,1,2,1,1
83979,1,2,1,2,2,2,2,2,2,99,NA,3,2,1,1
83980,1,1,2,2,2,2,2,1,2,11,3.38,3,2,5,1
83981,1,1,1,2,2,2,2,2,2,10,2.67,3,2,3,1
83982,1,2,2,2,2,2,2,1,2,12,3.68,3,1,NA,1
83983,1,1,1,2,1,2,2,2,2,9,3.62,3,2,3,1
83984,1,2,2,2,2,2,2,1,1,12,5,3,1,NA,1
83985,1,1,2,2,2,2,2,1,2,12,5,3,1,NA,1
83986,1,2,2,2,2,2,2,2,2,6,1.03,1,2,1,1
83987,1,2,1,2,1,1,2,2,2,3,0.35,1,2,1,2
