"seqn","ocd150","ocq180","ocq210","ocd231","ocd241","ocq260","ocq265","ocd270","ocq290g","ocq290q","ocq380","ocd390g","ocd391","ocd392","ocd395","ocq510","ocq520","ocq530","ocq540","ocq550","ocq560","ocq570","ocq580"
50892,1,60,NA,4,19,1,3,10,1,0,NA,1,14,14,18,1,2,2,NA,1,14,1,1
50893,1,45,NA,13,7,1,1,24,2,NA,NA,2,NA,NA,NA,2,NA,1,1,2,NA,2,NA
50894,1,40,NA,19,20,1,1,60,1,8,NA,2,NA,NA,NA,1,15,1,5,1,40,1,40
50896,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8,16,24,2,NA,2,NA,2,NA,2,NA
50897,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,19,21,360,2,NA,2,NA,1,6,2,NA
50899,1,30,1,17,2,1,4,60,2,NA,NA,2,NA,NA,NA,1,0,2,NA,1,0,1,0
50901,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,21,360,2,NA,2,NA,2,NA,1,5
50902,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,22,23,120,1,10,2,NA,1,15,2,NA
50905,2,NA,1,15,8,4,1,108,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50906,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,14,14,108,2,NA,2,NA,2,NA,2,NA
50910,1,40,NA,18,14,3,1,156,2,NA,NA,2,NA,NA,NA,1,1,2,NA,2,NA,1,13
50911,1,65,NA,18,13,1,4,2,1,3,NA,1,4,19,300,1,25,1,25,1,3,1,3
50915,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,12,204,2,NA,2,NA,1,17,2,NA
50916,1,38,NA,8,16,1,4,18,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,1,1
50917,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,12,16,36,2,NA,2,NA,2,NA,2,NA
50920,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,18,12,2,NA,2,NA,2,NA,2,NA
50922,1,40,NA,19,20,1,1,24,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,1,10,2,NA
50926,1,43,NA,8,22,1,3,30,2,NA,NA,1,6,17,108,1,9,1,9,1,9,1,9
50927,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8,16,72,2,NA,2,NA,2,NA,2,NA
50928,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,10,13,12,2,NA,2,NA,2,NA,2,NA
50929,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,18,13,84,1,1,2,NA,1,1,2,NA
50930,1,40,NA,18,13,1,4,24,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50931,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50932,1,40,NA,14,1,5,1,96,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,1,4,2,NA
