"seqn","ocd150","ocq180","ocq210","ocd231","ocd241","ocq260","ocq265","ocd270","ocq290g","ocq290q","ocq380","ocd390g","ocd392","ocd395"
33020,1,32,1,8,19,1,1,72,2,NA,NA,2,NA,NA
33022,1,42,NA,16,10,1,1,5,2,NA,NA,2,NA,NA
33023,1,48,NA,6,21,1,4,108,2,NA,NA,2,NA,NA
33026,1,37,NA,13,1,1,1,72,2,NA,NA,2,NA,NA
33028,1,48,NA,19,22,1,1,48,1,1,NA,2,NA,NA
33029,1,30,2,8,16,1,1,6,2,NA,NA,1,16,12
33031,1,25,2,4,14,1,2,12,2,NA,NA,2,NA,NA
33034,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,8
33037,1,40,NA,10,3,1,1,72,2,NA,NA,2,NA,NA
33039,1,40,NA,7,17,1,1,12,2,NA,NA,2,NA,NA
33041,1,40,NA,7,22,1,1,2,2,NA,NA,1,19,24
33042,1,50,NA,5,20,1,1,36,2,NA,NA,2,NA,NA
33043,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33044,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33046,1,2,2,4,17,5,5,48,2,NA,NA,1,16,60
33047,1,50,NA,15,8,4,1,4,2,NA,NA,2,NA,NA
33050,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,21,288
33051,1,25,2,8,17,1,2,12,1,2,NA,2,NA,NA
33055,1,40,NA,10,16,1,1,2,2,NA,NA,2,NA,NA
33057,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,13,12
33058,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33059,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,9,12
33060,1,82,NA,18,13,1,1,48,2,NA,NA,2,NA,NA
33061,1,40,NA,10,1,1,1,4,2,NA,NA,2,NA,NA
33063,1,20,2,8,17,1,4,14,2,NA,NA,2,NA,NA
33066,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,13,12
33067,1,40,NA,21,17,4,1,36,2,NA,NA,2,NA,NA
33069,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,276
33071,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA
33072,1,40,NA,13,7,1,1,0,2,NA,NA,2,NA,NA
33073,2,NA,1,13,17,1,1,3,2,NA,NA,2,NA,NA
33076,1,40,NA,5,21,1,1,120,1,8,NA,2,NA,NA
33077,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,456
33079,1,25,2,8,17,1,4,24,2,NA,NA,2,NA,NA
33080,1,40,NA,10,9,1,5,132,2,NA,NA,2,NA,NA
33081,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,19,312
33082,1,42,NA,15,17,3,1,11,2,NA,NA,1,17,24
33085,1,36,NA,8,16,1,1,1,2,NA,NA,2,NA,NA
33086,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,21,360
33088,1,40,NA,10,16,1,1,204,2,NA,NA,2,NA,NA
33092,1,23,2,11,17,1,1,36,2,NA,NA,1,16,96
33093,1,60,NA,1,1,5,1,672,2,NA,NA,2,NA,NA
33094,1,11,2,14,14,1,5,2,2,NA,NA,1,16,24
33095,1,10,1,17,9,5,5,144,2,NA,NA,2,NA,NA
33096,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,168
33099,1,45,NA,19,9,1,5,180,2,NA,NA,2,NA,NA
33101,1,20,2,10,14,1,4,2,2,NA,NA,2,NA,NA
33103,1,41,NA,1,18,1,1,12,1,2,NA,2,NA,NA
33104,1,28,1,4,19,1,1,5,2,NA,NA,2,NA,NA
33105,1,15,2,18,13,1,2,24,2,NA,NA,2,NA,NA
33106,1,25,2,16,17,1,1,6,2,NA,NA,2,NA,NA
33107,1,40,NA,15,6,3,1,204,1,1,NA,2,NA,NA
33108,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,48
33109,1,36,NA,16,11,1,1,108,2,NA,NA,2,NA,NA
33110,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33114,1,35,NA,4,19,1,5,2,1,2,NA,1,21,420
33115,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33116,1,40,NA,14,14,1,3,36,2,NA,NA,2,NA,NA
33117,1,44,NA,9,22,1,1,348,1,1,NA,2,NA,NA
33121,1,40,NA,8,21,1,1,24,2,NA,NA,1,22,240
33122,1,32,2,8,20,1,4,2,1,1,NA,1,22,12
33123,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,240
33124,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,13,6
33126,1,44,NA,14,17,1,3,12,2,NA,NA,1,20,240
33127,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,16,3
33128,1,40,NA,13,7,1,1,36,2,NA,NA,2,NA,NA
33130,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,22,24
33131,1,40,NA,1,21,1,1,108,2,NA,NA,2,NA,NA
33134,1,50,NA,5,21,1,1,48,1,1,NA,1,19,240
33135,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
33136,1,40,NA,4,17,1,1,1,2,NA,NA,1,17,12
33139,1,40,NA,6,21,1,3,8,2,NA,NA,2,NA,NA
33140,1,47,NA,18,13,1,1,42,2,NA,NA,1,13,84
33144,1,50,NA,13,3,1,1,60,2,NA,NA,1,9,372
33146,2,NA,1,15,8,3,1,36,2,NA,NA,2,NA,NA
33153,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,204
33154,1,40,NA,12,20,1,1,1,2,NA,NA,1,21,240
33158,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,16,3
33161,1,40,NA,8,17,1,5,1,1,1,NA,1,22,96
33162,1,37,NA,8,22,1,1,180,2,NA,NA,1,21,192
33163,1,21,2,10,16,1,5,36,1,1,NA,2,NA,NA
33165,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33166,1,39,NA,8,2,1,1,72,2,NA,NA,2,NA,NA
33168,1,40,NA,1,22,1,5,1,2,NA,NA,1,19,168
33169,1,40,NA,16,15,1,1,8,2,NA,NA,2,NA,NA
33170,1,48,NA,18,16,1,1,60,2,NA,NA,1,21,144
33171,1,40,NA,12,17,1,1,84,2,NA,NA,2,NA,NA
33174,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,13,1
33177,1,40,NA,16,17,1,1,3,2,NA,NA,1,1,216
33178,1,37,NA,21,17,4,1,324,2,NA,NA,2,NA,NA
33181,1,35,NA,8,17,1,1,6,2,NA,NA,1,16,192
33182,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,19,600
33183,1,40,NA,8,17,1,1,96,2,NA,NA,2,NA,NA
33184,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,168
33186,1,40,NA,6,21,1,1,228,2,NA,NA,2,NA,NA
33187,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,12,108
33189,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33190,1,50,NA,5,21,5,1,108,2,NA,NA,2,NA,NA
33191,1,50,NA,6,22,1,3,5,2,NA,NA,2,NA,NA
33192,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,17,12
33193,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,16,12
33196,1,40,NA,15,8,3,1,3,2,NA,NA,2,NA,NA
33197,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,276
33198,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,11,12
33200,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,48
33201,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,16,12
33202,1,40,NA,7,16,1,1,8,2,NA,NA,1,1,60
33206,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,60
33207,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,192
33209,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA
33213,1,60,NA,8,2,1,1,108,2,NA,NA,1,16,144
33214,1,50,NA,16,3,3,1,48,2,NA,NA,2,NA,NA
33215,1,20,2,8,16,1,4,4,2,NA,NA,2,NA,NA
33217,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,21,36
33219,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,22,1
33221,1,60,NA,14,22,1,3,12,2,NA,NA,2,NA,NA
33223,1,45,NA,6,21,1,4,144,2,NA,NA,2,NA,NA
33224,1,20,2,8,13,1,2,15,2,NA,NA,2,NA,NA
33225,1,40,NA,8,16,1,4,5,2,NA,NA,2,NA,NA
33227,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,13,12
33228,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA
33229,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,21,3
33230,1,48,NA,12,16,1,1,24,2,NA,NA,1,13,84
33231,1,40,NA,11,2,1,1,96,2,NA,NA,2,NA,NA
33232,1,44,NA,14,2,1,1,36,2,NA,NA,1,2,48
33235,1,40,NA,14,12,1,1,24,2,NA,NA,1,4,264
33236,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,15,576
33238,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
33239,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,16,24
33240,2,NA,1,4,1,1,1,0,2,NA,NA,2,NA,NA
33241,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,180
33242,1,40,NA,4,19,1,1,8,1,8,NA,1,21,36
33244,1,42,NA,18,1,1,1,60,2,NA,NA,2,NA,NA
33245,2,NA,1,11,1,1,1,48,2,NA,NA,2,NA,NA
33246,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,144
33247,2,NA,1,15,8,4,1,60,1,0,NA,1,16,120
33249,1,40,NA,4,22,1,1,3,1,8,NA,1,18,12
33256,1,60,NA,15,8,3,1,72,2,NA,NA,2,NA,NA
33257,1,40,NA,19,22,1,1,2,2,NA,NA,2,NA,NA
33260,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,22,36
33261,1,47,NA,5,16,1,1,108,2,NA,NA,2,NA,NA
33262,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,14,48
33263,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,22,156
33264,1,40,NA,18,13,1,4,12,2,NA,NA,2,NA,NA
33265,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,480
33268,1,40,NA,19,17,1,1,240,2,NA,NA,2,NA,NA
33270,1,47,NA,7,21,1,1,11,2,NA,NA,1,14,84
33271,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA
33272,1,30,1,12,16,5,5,12,2,NA,NA,7,NA,NA
33273,1,40,NA,17,15,2,1,72,2,NA,NA,2,NA,NA
33274,1,40,NA,16,11,1,4,60,2,NA,NA,2,NA,NA
33275,1,46,NA,21,12,4,4,264,2,NA,NA,2,NA,NA
33277,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,14,492
33280,1,100,NA,21,17,4,5,204,2,NA,NA,2,NA,NA
33282,1,65,NA,13,17,1,1,0,2,NA,NA,2,NA,NA
33283,1,40,NA,3,21,4,1,96,1,1,NA,2,NA,NA
33284,1,45,NA,15,10,4,1,48,2,NA,NA,1,10,240
33285,1,12,2,1,18,5,5,588,2,NA,NA,2,NA,NA
33287,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,13,120
33289,1,40,NA,4,19,1,1,6,2,NA,NA,2,NA,NA
33290,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,720
33291,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,252
33294,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,8,396
33298,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33300,1,40,NA,16,13,1,1,300,2,NA,NA,2,NA,NA
33302,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,14,12
33303,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33305,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33307,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,21,180
33308,1,50,NA,6,1,1,1,6,2,NA,NA,2,NA,NA
33309,1,40,NA,11,2,1,1,60,2,NA,NA,2,NA,NA
33311,1,64,NA,18,13,1,2,12,1,7,NA,2,NA,NA
33312,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,16,12
33316,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,216
33317,1,41,NA,13,2,1,1,11,2,NA,NA,2,NA,NA
33319,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,16,60
33320,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,14,300
33321,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,360
33323,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,17,6
33324,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,14,96
33327,1,40,NA,8,13,1,4,6,2,NA,NA,2,NA,NA
33328,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,336
33329,1,20,1,12,16,5,5,396,2,NA,NA,2,NA,NA
33330,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,15,7
33331,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,15,168
33335,2,NA,1,15,14,4,3,4,2,NA,NA,1,21,120
33337,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,22,300
33338,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,180
33344,1,40,NA,8,22,1,1,60,1,1,NA,2,NA,NA
33345,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,17,180
33346,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,168
33347,1,44,NA,8,20,1,1,96,1,1,NA,2,NA,NA
33348,1,30,1,4,19,1,1,12,2,NA,NA,2,NA,NA
33349,1,30,2,18,13,1,4,8,1,4,NA,2,NA,NA
33351,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33356,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,20,300
33357,1,30,2,16,17,1,1,300,1,1,NA,2,NA,NA
33358,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,22,24
33359,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA
33360,1,40,NA,4,22,1,1,2,1,8,NA,2,NA,NA
33362,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,16,156
33363,1,40,NA,16,10,1,1,72,2,NA,NA,2,NA,NA
33364,1,40,NA,18,13,1,1,144,2,NA,NA,2,NA,NA
33365,2,NA,2,1,18,1,1,84,2,NA,NA,2,NA,NA
33366,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA
33370,1,50,NA,16,15,5,1,264,2,NA,NA,2,NA,NA
33371,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,17,36
33372,1,18,2,8,16,1,2,9,2,NA,NA,2,NA,NA
33374,1,40,NA,6,21,1,1,120,2,NA,NA,2,NA,NA
33375,1,35,NA,15,8,3,1,5,1,5,NA,2,NA,NA
33376,1,40,NA,16,17,1,1,8,2,NA,NA,1,9,36
33377,1,40,NA,16,10,1,1,300,2,NA,NA,2,NA,NA
33379,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,18,2
33381,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,16,36
33383,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,19,456
33384,1,20,2,8,17,1,1,2,2,NA,NA,1,22,12
33385,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,444
33387,1,48,NA,19,20,1,4,12,2,NA,NA,1,19,360
33389,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,2
33390,1,20,2,19,14,1,1,48,1,8,NA,1,19,360
33397,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,19,24
33400,1,40,NA,16,13,99,2,240,2,NA,NA,2,NA,NA
33401,1,40,NA,8,16,1,4,36,2,NA,NA,2,NA,NA
33404,1,30,2,8,16,1,3,12,2,NA,NA,2,NA,NA
33406,1,45,NA,5,1,5,1,156,2,NA,NA,1,1,240
33409,2,NA,1,19,16,1,5,10,2,NA,NA,1,17,36
33410,1,40,NA,16,10,1,4,72,2,NA,NA,2,NA,NA
33412,1,65,NA,4,22,1,1,72,2,NA,NA,2,NA,NA
33413,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,36
33414,1,50,NA,4,19,1,1,10,2,NA,NA,1,14,24
33416,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,360
33419,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA
33420,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,156
33423,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,17,3
33424,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,18,2
33425,1,60,NA,5,22,2,2,12,1,10,NA,1,17,276
33426,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,19,420
33428,1,65,NA,17,22,1,2,24,2,NA,NA,1,9,480
33429,1,5,2,18,13,1,5,14,2,NA,NA,1,15,60
33430,1,54,NA,21,11,3,5,156,2,NA,NA,2,NA,NA
33436,1,40,NA,14,12,1,1,15,1,8,NA,2,NA,NA
33437,1,50,NA,4,22,1,1,1,2,NA,NA,3,23,120
33441,1,40,NA,13,16,1,1,30,2,NA,NA,2,NA,NA
33442,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,14,1
33443,1,55,NA,4,19,1,1,132,2,NA,NA,2,NA,NA
33445,1,42,NA,12,17,1,1,24,1,8,NA,1,17,36
33446,1,40,NA,13,2,1,1,60,2,NA,NA,2,NA,NA
33447,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,13,36
33450,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,288
33451,1,40,NA,8,17,1,1,36,2,NA,NA,1,17,120
33452,2,NA,2,4,1,1,1,36,2,NA,NA,2,NA,NA
33454,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,264
33457,1,40,NA,6,22,1,1,276,2,NA,NA,2,NA,NA
33462,1,12,2,18,13,1,5,6,2,NA,NA,2,NA,NA
33464,1,40,NA,8,16,1,1,2,2,NA,NA,1,16,84
33466,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33467,1,50,NA,19,21,1,1,480,2,NA,NA,2,NA,NA
33468,1,40,NA,18,17,1,3,1,2,NA,NA,1,19,36
33469,1,50,NA,13,7,1,1,324,2,NA,NA,2,NA,NA
33471,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA
33473,1,40,NA,7,17,1,1,60,2,NA,NA,1,16,72
33474,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,16,360
33476,1,60,NA,10,1,1,1,288,2,NA,NA,2,NA,NA
33477,1,60,NA,19,1,1,5,36,1,8,NA,1,16,36
33478,1,50,NA,15,1,1,1,360,2,NA,NA,2,NA,NA
33483,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,240
33484,1,29,2,7,17,1,2,2,1,1,NA,2,NA,NA
33485,1,40,NA,8,17,1,3,24,2,NA,NA,1,18,120
33487,1,50,NA,6,19,1,1,3,1,1,NA,1,19,96
33489,1,40,NA,6,5,1,1,12,2,NA,NA,2,NA,NA
33490,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,480
33492,1,56,NA,7,21,1,1,108,2,NA,NA,2,NA,NA
33496,1,50,NA,16,1,1,1,6,2,NA,NA,2,NA,NA
33500,1,65,NA,1,18,5,5,96,2,NA,NA,2,NA,NA
33501,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21,3
33503,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,17,3
33504,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA
33506,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,11,60
33508,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
33509,1,35,NA,16,10,1,5,12,2,NA,NA,1,8,108
33512,1,40,NA,8,16,1,1,0,2,NA,NA,2,NA,NA
33515,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,22,240
33517,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,14,240
33518,1,45,NA,4,19,1,1,12,2,NA,NA,1,16,48
33519,1,45,NA,19,15,1,5,84,2,NA,NA,2,NA,NA
33520,1,15,2,15,8,3,5,360,2,NA,NA,2,NA,NA
33527,1,40,NA,2,19,1,4,24,2,NA,NA,2,NA,NA
33528,1,80,NA,19,15,5,1,12,2,NA,NA,2,NA,NA
33529,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,21,36
33530,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA
33531,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,22,324
33532,1,40,NA,11,2,3,1,180,2,NA,NA,2,NA,NA
33534,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,156
33535,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33536,1,15,2,15,8,1,1,24,2,NA,NA,1,16,48
33538,1,15,2,8,16,1,4,24,2,NA,NA,2,NA,NA
33539,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33541,1,40,NA,16,10,1,1,8,2,NA,NA,2,NA,NA
33543,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,20,504
33544,1,24,2,14,1,1,1,12,2,NA,NA,1,1,72
33545,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33546,2,NA,1,12,16,1,4,0,2,NA,NA,1,7,84
33547,1,70,NA,4,19,1,1,12,2,NA,NA,2,NA,NA
33549,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33551,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,360
33552,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,144
33554,1,40,NA,14,21,1,1,1,2,NA,NA,1,14,24
33557,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,15,9
33558,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33559,1,30,1,16,11,1,1,11,1,3,NA,1,13,24
33561,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,216
33562,1,65,NA,16,15,5,1,120,2,NA,NA,2,NA,NA
33563,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8,120
33564,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,11,204
33565,1,56,NA,1,18,5,4,600,1,8,NA,2,NA,NA
33566,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,492
33567,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,96
33568,1,24,2,8,21,1,5,12,2,NA,NA,2,NA,NA
33569,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,216
33570,1,80,NA,16,17,1,4,96,2,NA,NA,2,NA,NA
33573,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,7
33574,1,40,NA,4,19,1,1,0,1,8,NA,2,NA,NA
33576,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,24
33577,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,17,360
33579,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,21,18
33582,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,17,72
33583,1,12,2,18,13,1,1,1,1,1,NA,2,NA,NA
33585,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,9,216
33587,1,40,NA,18,13,1,4,120,1,1,NA,2,NA,NA
33588,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33589,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,72
33591,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,240
33592,1,60,NA,8,9,1,1,300,2,NA,NA,2,NA,NA
33594,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,240
33595,1,40,NA,8,10,1,2,0,2,NA,NA,1,16,4
33596,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,21,24
33597,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,21,360
33598,2,NA,1,13,7,1,1,0,2,NA,NA,1,16,120
33600,1,40,NA,13,7,1,1,6,1,2,NA,2,NA,NA
33602,1,50,NA,4,19,5,1,72,1,1,NA,1,18,144
33604,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,11,48
33605,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,13,168
33606,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,13,36
33607,1,40,NA,16,1,1,1,12,2,NA,NA,1,15,60
33608,1,48,NA,5,16,1,1,168,2,NA,NA,2,NA,NA
33609,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33610,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,13,0
33612,1,50,NA,11,1,1,1,156,2,NA,NA,2,NA,NA
33614,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,240
33616,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,22,96
33617,1,50,NA,19,20,1,1,420,2,NA,NA,2,NA,NA
33620,1,30,2,13,7,1,1,96,2,NA,NA,2,NA,NA
33621,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,396
33624,1,65,NA,21,6,3,1,36,2,NA,NA,1,10,252
33625,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,60
33627,1,45,NA,8,16,1,1,60,2,NA,NA,1,13,120
33629,1,52,NA,18,1,5,1,36,2,NA,NA,1,17,156
33630,1,40,NA,18,13,1,1,12,2,NA,NA,2,NA,NA
33631,1,40,NA,9,12,1,3,84,2,NA,NA,1,19,360
33632,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,17,36
33634,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,20,180
33635,2,NA,1,9,22,5,1,36,2,NA,NA,1,20,156
33637,1,30,2,16,11,1,5,12,2,NA,NA,2,NA,NA
33639,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33640,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,18,48
33641,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
33642,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,264
33643,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,17,300
33645,1,40,NA,12,17,3,1,36,1,1,NA,2,NA,NA
33646,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,120
33647,1,45,NA,15,8,4,1,36,2,NA,NA,2,NA,NA
33648,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
